"","country","election_year","age","gender","men","education","unemployed","blue_collar","household","rural","gov_perform","diss_dem","diss_econ","democrats","lrself","trust_pol","vote_fn","election"
"413","France",2002,42,"Male",1,3,1,0,5,0,4,8,4,1,6,4,0,"2002"
"415","France",2002,75,"Female",0,3,0,0,5,0,7,8,6,4,8,7,0,"2002"
"417","France",2002,63,"Male",1,1,0,0,2,1,4,9,2,3,1,5,0,"2002"
"418","France",2002,64,"Male",1,3,0,0,8,0,7,10,5,1,9,3,0,"2002"
"419","France",2002,65,"Female",0,1,1,0,5,1,5,11,5,2,4,6,0,"2002"
"421","France",2002,28,"Male",1,5,1,1,8,0,1,5,3,4,8,2,0,"2002"
"422","France",2002,51,"Female",0,5,1,0,8,0,5,9,5,5,6,6,0,"2002"
"423","France",2002,71,"Female",0,1,0,0,3,0,1,8,1,3,5,1,0,"2002"
"424","France",2002,62,"Male",1,3,0,0,9,0,6,10,6,1,8,4,0,"2002"
"425","France",2002,40,"Female",0,3,1,0,4,0,3,5,6,4,9,4,1,"2002"
"428","France",2002,54,"Female",0,5,0,0,9,0,5,11,5,1,1,7,0,"2002"
"429","France",2002,27,"Male",1,2,0,0,8,1,1,1,1,1,6,1,0,"2002"
"431","France",2002,45,"Male",1,3,0,1,7,1,3,8,6,5,6,6,0,"2002"
"432","France",2002,58,"Female",0,2,1,0,7,1,8,9,7,1,7,6,0,"2002"
"433","France",2002,62,"Female",0,1,1,0,6,1,6,8,7,2,5,4,0,"2002"
"436","France",2002,77,"Male",1,5,0,0,9,1,7,10,5,4,7,6,0,"2002"
"439","France",2002,27,"Female",0,3,1,0,7,1,10,10,2,2,6,5,0,"2002"
"444","France",2002,53,"Male",1,2,0,0,6,0,5,7,5,1,5,3,0,"2002"
"445","France",2002,77,"Female",0,1,0,0,4,1,6,8,5,1,6,7,0,"2002"
"448","France",2002,65,"Female",0,3,1,0,5,1,9,11,6,2,6,6,0,"2002"
"449","France",2002,46,"Female",0,3,1,0,11,0,6,8,2,1,4,6,0,"2002"
"455","France",2002,52,"Female",0,1,0,0,7,1,3,7,7,2,6,2,0,"2002"
"456","France",2002,57,"Female",0,3,0,0,6,0,6,10,6,2,1,6,0,"2002"
"458","France",2002,26,"Female",0,5,0,0,4,0,4,6,5,3,6,4,0,"2002"
"463","France",2002,77,"Female",0,1,0,0,5,0,6,8,4,2,3,2,0,"2002"
"467","France",2002,24,"Female",0,3,0,0,5,0,6,7,4,1,6,2,0,"2002"
"468","France",2002,63,"Male",1,1,0,0,6,0,8,8,7,2,8,6,0,"2002"
"471","France",2002,22,"Female",0,3,0,0,5,1,1,6,4,5,11,2,0,"2002"
"474","France",2002,65,"Male",1,1,0,1,3,0,5,7,4,1,6,5,0,"2002"
"476","France",2002,75,"Female",0,1,0,0,5,0,4,9,5,1,1,9,0,"2002"
"478","France",2002,26,"Female",0,5,1,0,6,0,8,11,7,1,8,7,0,"2002"
"479","France",2002,52,"Female",0,3,1,0,5,0,5,7,4,3,8,5,0,"2002"
"480","France",2002,57,"Female",0,3,1,0,2,1,6,9,9,1,9,6,0,"2002"
"482","France",2002,59,"Female",0,5,0,0,7,1,5,6,6,1,5,8,0,"2002"
"485","France",2002,64,"Female",0,3,1,0,8,1,2,7,2,1,6,5,0,"2002"
"487","France",2002,25,"Male",1,5,0,0,9,1,7,11,6,4,8,8,0,"2002"
"488","France",2002,70,"Female",0,2,0,0,9,0,6,8,5,1,7,5,0,"2002"
"490","France",2002,25,"Female",0,3,0,0,7,1,7,2,3,1,3,4,0,"2002"
"493","France",2002,45,"Female",0,3,0,0,9,1,3,9,8,2,7,3,0,"2002"
"498","France",2002,52,"Male",1,3,0,0,9,0,4,7,4,4,3,4,0,"2002"
"499","France",2002,62,"Female",0,1,0,0,5,0,9,10,7,5,8,6,0,"2002"
"502","France",2002,51,"Female",0,5,1,0,6,1,4,6,5,2,7,5,0,"2002"
"503","France",2002,67,"Female",0,2,0,0,2,0,4,10,4,1,6,3,0,"2002"
"504","France",2002,39,"Female",0,3,1,0,4,0,9,11,4,1,1,2,0,"2002"
"506","France",2002,75,"Male",1,3,0,1,6,1,5,9,5,2,11,5,0,"2002"
"508","France",2002,54,"Male",1,3,1,0,5,1,8,11,7,5,11,7,0,"2002"
"510","France",2002,41,"Female",0,5,0,0,8,0,7,10,5,4,5,5,0,"2002"
"513","France",2002,32,"Female",0,3,1,0,6,0,6,8,6,3,6,4,0,"2002"
"516","France",2002,41,"Female",0,2,1,0,3,1,6,11,8,1,8,6,0,"2002"
"517","France",2002,36,"Male",1,5,0,0,9,1,5,10,5,2,4,6,0,"2002"
"518","France",2002,42,"Male",1,3,0,0,4,1,3,5,7,1,10,3,1,"2002"
"523","France",2002,70,"Female",0,3,0,0,5,0,6,8,6,2,1,6,0,"2002"
"525","France",2002,65,"Male",1,5,0,0,9,0,6,6,6,5,6,3,0,"2002"
"530","France",2002,34,"Male",1,5,1,0,9,0,6,7,7,4,5,9,0,"2002"
"531","France",2002,74,"Female",0,5,0,0,5,1,1,1,1,1,3,4,0,"2002"
"532","France",2002,24,"Female",0,3,0,0,7,0,3,4,3,1,6,6,0,"2002"
"533","France",2002,84,"Female",0,3,0,0,1,0,8,10,7,1,8,8,0,"2002"
"535","France",2002,36,"Female",0,3,1,0,4,0,5,6,4,3,4,3,0,"2002"
"536","France",2002,35,"Male",1,3,0,0,6,0,9,11,8,1,5,9,0,"2002"
"537","France",2002,32,"Male",1,5,0,0,9,0,6,10,4,4,6,1,0,"2002"
"538","France",2002,59,"Male",1,1,0,0,6,0,5,8,4,5,6,4,1,"2002"
"539","France",2002,61,"Female",0,1,1,0,7,0,6,7,3,2,9,7,0,"2002"
"542","France",2002,65,"Male",1,3,1,0,7,1,5,8,3,1,4,6,0,"2002"
"543","France",2002,34,"Male",1,3,1,1,4,0,6,8,4,1,4,8,0,"2002"
"546","France",2002,44,"Male",1,5,1,0,4,0,8,6,5,4,9,1,0,"2002"
"550","France",2002,42,"Male",1,5,0,0,10,0,7,11,6,2,8,7,0,"2002"
"552","France",2002,49,"Female",0,5,0,0,6,0,6,11,8,1,3,7,0,"2002"
"553","France",2002,67,"Male",1,1,0,1,5,0,5,8,6,2,4,5,0,"2002"
"554","France",2002,51,"Female",0,5,1,0,10,1,5,11,3,1,9,6,0,"2002"
"555","France",2002,53,"Female",0,3,1,0,8,1,5,10,2,1,2,4,0,"2002"
"556","France",2002,25,"Female",0,5,0,0,4,0,4,6,3,2,4,4,0,"2002"
"557","France",2002,33,"Female",0,3,0,0,5,0,7,8,6,1,4,8,0,"2002"
"558","France",2002,28,"Male",1,3,0,1,7,0,5,6,3,2,6,2,0,"2002"
"562","France",2002,31,"Male",1,3,1,1,7,0,1,1,2,1,6,1,0,"2002"
"563","France",2002,39,"Male",1,3,0,1,9,1,6,8,7,1,5,1,0,"2002"
"564","France",2002,32,"Female",0,5,1,0,8,0,5,8,5,2,6,4,0,"2002"
"566","France",2002,32,"Female",0,5,0,0,8,1,5,8,5,1,6,6,0,"2002"
"567","France",2002,25,"Male",1,3,1,0,4,0,4,6,3,1,8,6,0,"2002"
"574","France",2002,61,"Female",0,1,0,0,7,1,5,8,4,5,5,6,0,"2002"
"578","France",2002,57,"Male",1,3,0,0,10,0,8,11,8,1,8,8,0,"2002"
"579","France",2002,48,"Male",1,3,1,0,9,0,9,2,3,3,8,6,0,"2002"
"580","France",2002,59,"Male",1,2,0,0,11,1,4,6,4,1,5,6,0,"2002"
"581","France",2002,57,"Male",1,2,0,0,9,1,6,8,5,3,5,5,0,"2002"
"582","France",2002,48,"Male",1,5,0,0,9,0,6,11,4,2,4,6,0,"2002"
"584","France",2002,41,"Female",0,3,0,0,7,0,6,8,6,1,8,6,0,"2002"
